number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
ENGL 137-02,10933,Novel: Through the Mind's Eye,M W F,12:00 pm-01:00 pm,MAIN 009,Melissa Merte,0 / 20,"Societal understandings of mental health have shifted significantly over time. From early representations and misrepresentations, to increased inclusivity and discussions around neurodiversity, literary protagonists reflect many of these changing social constructs. This course will look at novels from the 19th, 20th, and 21st centuries and explore the following topics: how have class, gender, and race shaped literary portrayals of mental health? What misconceptions have lingered over time? What kind of relationships do writers represent between the individual and modern society, and how do communities and support systems within the texts shape and alter their narrative trajectories? Possible course texts include Robert Louis Stevenson’s Jekyll and Hyde, Oscar Wilde’s The Picture of Dorian Gray, Virginia Woolf’s Mrs. Dalloway, and Mira T. Lee’s Everything Here is Beautiful.",Writing WA
ENGL 140-01,10821,Once Upon a Crime, T R,01:20 pm-02:50 pm,MAIN 010,Penelope Geng,0 / 20,"This course serves as an introduction to law and literature. How does literature shape law and vice versa? How does literature help us to better understand the human desire for revenge, retribution, confession, witnessing, judgment, remorse, and forgiveness? Readings come from a variety of literary traditions and periods: fairy tales, early modern drama, essays, short stories, film, and literary and legal theory. This course counts as a foundation course for the English major and a course for the Legal Studies Concentration.",Writing WA
ENGL 150-01,10282,Introduction to Creative Writing,M W F,09:40 am-10:40 am,CARN 204,Melissa Cundieff,-1 / 16,"This workshop-based course focuses on the development of skills for writing poetry, short fiction, and/or creative nonfiction through a close study of the techniques involved in these forms, analysis of model literary works, and frequent writing exercises that will be workshopped. This course must be completed at Macalester as a PREREQUISITE for the further study of creative writing at Macalester.",Writing WC
ENGL 150-02,10283,Introduction to Creative Writing,M W F,01:10 pm-02:10 pm,MAIN 001,Emma Torzs, Closed 0 / 16,"This workshop-based course focuses on the development of skills for writing poetry, short fiction, and/or creative nonfiction through a close study of the techniques involved in these forms, analysis of model literary works, and frequent writing exercises that will be workshopped. This course must be completed at Macalester as a PREREQUISITE for the further study of creative writing at Macalester.",Writing WC
ENGL 150-03,10284,Introduction to Creative Writing,M W F,03:30 pm-04:30 pm,MAIN 001,Emma Torzs,1 / 16,"This workshop-based course focuses on the development of skills for writing poetry, short fiction, and/or creative nonfiction through a close study of the techniques involved in these forms, analysis of model literary works, and frequent writing exercises that will be workshopped. This course must be completed at Macalester as a PREREQUISITE for the further study of creative writing at Macalester.",Writing WC
ENGL 150-04,10285,Introduction to Creative Writing, T R,03:00 pm-04:30 pm,MAIN 001,Sally Franson,1 / 16,"This workshop-based course focuses on the development of skills for writing poetry, short fiction, and/or creative nonfiction through a close study of the techniques involved in these forms, analysis of model literary works, and frequent writing exercises that will be workshopped. This course must be completed at Macalester as a PREREQUISITE for the further study of creative writing at Macalester.",Writing WC
ENGL 150-05,10286,Introduction to Creative Writing, T R,09:40 am-11:10 am,MAIN 001,Peter Bognanni,0 / 17,"In this course we will dive right into the study of creative writing by reading and writing poetry, flash fiction, short stories, and personal essays. We will study how published authors craft their pieces, how they convey sensation and emotion, and how they artfully tell a story. Along the way, you’ll try your hand at each literary form we study. This is the basic template you can expect on a day-to-day basis. But, beyond this relatively simple pattern, what I hope will happen this term is that you’ll lose yourself to the daring act of creating literature. I hope you’ll disappear into what John Gardener calls the “vivid and continuous dream.” I hope you’ll use your growing knowledge of writing technique and literary history to say something fearless and artful about the world around you. And I hope you will see that what you write matters. Great creative writing aspires to more than just a pleasant diversion from life. At its best, it directly engages with life and even tries to change it. We look to stories, poems, and essays to give us an experience in language that we’ve never had before, to deepen our knowledge of the world, and to allow us into the hearts and minds of others. I hope this semester will be a window into that experience for you.",Writing WC
ENGL 150-06,10287,Introduction to Creative Writing, T R,01:20 pm-02:50 pm,MAIN 001,Benjamin Voigt,1 / 16,"This workshop-based course focuses on the development of skills for writing poetry, short fiction, and/or creative nonfiction through a close study of the techniques involved in these forms, analysis of model literary works, and frequent writing exercises that will be workshopped. This course must be completed at Macalester as a PREREQUISITE for the further study of creative writing at Macalester.",Writing WC
ENGL 150-07,10897,Introduction to Creative Writing,M W F,03:30 pm-04:30 pm,MAIN 002,Aurora Masum-Javed,1 / 16,"Writing can be a terrifying, vulnerable act. Whether we’re investigating our own lives or digging into the depths of a character, writing well requires risk. In this course, we will create and explore through poetry, fiction, and personal essays. We will learn to get lost, to ask the hardest questions. The first half of the semester will focus on generative experiments. We’ll play with different ways of approaching the page and the writing process. We might write one line a day or try to write an entire story in an hour. The second half of the semester, we’ll learn to revise and offer feedback. Editing and redrafting can lead to unexpected awakenings. Often in revising work, we also revise how we see ourselves and our world. We will begin workshopping with the aim of pushing each other to ask deeper questions and to honor and strengthen the heart of a piece. You will leave this class with a stack of drafts and hopefully a better sense of yourself as a person and as a writer.",Writing WC
ENGL 150-08,10941,Introduction to Creative Writing,M W F,01:10 pm-02:10 pm,MAIN 011,Daniel Hornsby,-1 / 16,"In this Intro to Creative Writing course, my goal is to equip you with as many versatile tools and techniques as I can, so that as you pursue your own projects as writers in the future, you have what you need to breathe some life into your vision. Each week will focus on a particular topic or technical component of a piece of writing (voice, setting, plot, etc.), building gradually to a more traditional workshop. While we’ll focus primarily on fiction, poetry, and nonfiction, we’ll also bring in playwriting, film, and visual art to tease out new ideas and approaches. If you don’t think of yourself primarily as a writer, no worries! This is a great class for nurturing your creative side in other disciplines. Whatever your background or interests, by the end of this, you’ll have a portfolio of polished pieces you can be proud of.",Writing WC
ENGL 208-01,10289,Literary Publishing,  W,07:00 pm-10:00 pm,MAIN 009,Steven Woodward,1 / 20,"To the average reader, the field of publishing can seem somewhat opaque. How does a novel go from scribbled notes to finished paperback? What goes into editing, printing, and marketing a short story collection? This course will aim to shed light on this exciting field through a combination of readings, talks with local publishing professionals, in-class discussion, and hands-on work. We will learn about publishing by tracing the literary work from the hands of the author, through the processes of acquisition, editing, production, marketing, and distribution, and into the hands of the reader. Additional topics will include recent trends in technology, magazine and book editing, and the roles of the literary agent, the independent publisher, and the book reviewer. We will take advantage of the extraordinary publishing resources in the Twin Cities through guest speakers and field trips. Assignments will include writing brief book reviews, presenting publisher profiles, editing projects, and writing a final paper on publishing issues. This course is designed for readers who want to know how the magazine or book they’re holding got into their hands, for writers who want to know what happens when they send their works to publishers, and for those interested in publishing as a future career.",
ENGL 272-01,10290,Love and Madness in 19th Century American Literature, T R,01:20 pm-02:50 pm,HUM 217,James Dawes, Closed 2 / 20,"Our common vocabulary of love presents it as a force that strikes and knocks down its victims.  It comes like a fever and it disables cognition.  Lovers ""fall,"" they are ""smitten,"" ""head over heels,"" ""crazy"" for each other.  Love is both mania and obsession, both a euphoria that alters one's view of the world as a whole and an exclusion of the whole world, a radical narrowing of our normally capacious imaginative and perceptual faculties down to the simplest and smallest of human frames: a face, or the sound of a voice.  For American authors of the 18th and 19th century, love and madness were twinned sites of altered consciousness that represented the radical ""others"" of Enlightenment reason, psychic parallels to and extensions of the wilds of the New World and the uncontrollable crowds and freedoms of the new democracy.  This course will examine love and madness from multiple perspectives, including the Enlightenment and counter-Enlightenment, gender and sexuality, the American Gothic, violence, and sin.",
ENGL 276-01,10291,African American Literature 1900 to Present,M W F,10:50 am-11:50 am,MAIN 001,Kristina Popiel,12 / 20,"This course will trace the development of an African American literary and cultural tradition from the turn of the century to the present, from writers such as W.E.B. Du Bois and Pauline Hopkins to Walter Mosley and Toni Morrison. It will examine the ways that modern and contemporary African American writers and artists have explored political, social, racial, and aesthetic issues in a variety of genres-including autobiographies, poetry, novels, blues songs, photographs, short stories, plays essays, film, visual art, and literary and cultural criticism. Among the many topics the course will consider are: the Harlem Renaissance, the Great Migration, the Black Arts Movement, and the current flourishing of African American arts and letters and cinema.",
ENGL 280-01,10292,Crafts of Writing: Poetry (Crafting the Long Poem),M W F,01:10 pm-02:10 pm,HUM 217,Aurora Masum-Javed,2 / 16,"The long poem defies convention. It lingers in the space between genres. Whether a crown of sonnets or a mythical epic, long poems have deep, historical roots. But contemporary poets are taking this ancient tradition and transforming it. In this course, we’ll focus primarily on living writers who’ve tackled the long poem. We’ll read work by poets such as Natalie Diaz, Ross Gay, and Paisley Rekdal. We’ll analyze how their poems maintain momentum across multiple pages or even a whole book. And then, of course, we’ll write our own. The goal will be to create one long poem that’s developed slowly, through sustained time and attention. Alongside this piece, we’ll create shorter works throughout the semester that engage with the long poem's themes, questions, and formal concerns. Prerequisite(s): ENGL 150 taken at Macalester.",Writing WC
ENGL 281-01,10293,Crafts of Writing: Fiction (Familiarity and Strangeness), T R,03:00 pm-04:30 pm,CARN 105,Abbey Otis, Closed 3 / 16,"How do you write so that your subject becomes at once startlingly new and deeply recognizable? This course will focus on the core writing tasks of making the familiar strange and the strange familiar. Through close reading, writing and discussion we will explore this question at the level of the sentence, the passage, and the story. We will also ask: familiar/strange to whom? and work to make explicit the expectations readers bring to different works. By honing our sense of audience, we will deepen our ability to connect as writers. Potential readings include: Arundhati Roy, Toni Morrison, Justin Torres, Dorothy Tse, Samanta Schweblin, Octavia Butler. Prerequisite(s): ENGL 150 taken at Macalester.",
ENGL 284-01,10294,Crafts of Writing: Screenwriting, T R,01:20 pm-02:50 pm,MAIN 002,Richard Pelster-Wiebe, Closed 4 / 16,"When we watch movies and TV shows, it’s hard sometimes to remember how these works are actually born. Before the actors say a word, or the post-production team adds that perfect shade of pink to the sunset, a film or television show lives solely on the page. It lives as a piece of writing created in the mind of a storyteller. No matter what happens later, it always begins as a reading experience. In this course, we will concentrate on every aspect of that initial and vital stage of creating visual stories. We will study produced scripts to see how they master visual storytelling, pitch perfect dialogue, and satisfying structure. While there is no paint-by-numbers formula for a perfect screenplay or teleplay, there is a constantly evolving form full of principles the greatest writers have relied on since the birth of these mediums. Throughout the semester we will study this form in depth then we will workshop your developing scripts with an eye toward making them ideal stories for the screen, both large and small. Prerequisite(s): ENGL 150 taken at Macalester.",Writing WC
ENGL 285-01,10861,Playwriting, T R,03:00 pm-04:30 pm,THEATR 204,Marvin Gonzalez, Closed 1 / 12,"This course is designed to explore the art and craft of dramatic writing. Students will complete weekly reading assignments and exercises that will culminate in the writing of a one-act play. Students will engage in a rigorous development process which will include in-class feedback sessions and script revision. The ultimate goal over the course semester is for each student to develop a consistent, challenging and rewarding individual creative writing practice.",Writing WC
ENGL 285-02,10862,Playwriting,M W F,03:30 pm-04:30 pm,THEATR 213,Courtney Meaker,5 / 12,"This course is designed to explore the art and craft of dramatic writing. Students will complete weekly reading assignments and exercises that will culminate in the writing of a one-act play. Students will engage in a rigorous development process which will include in-class feedback sessions and script revision. The ultimate goal over the course semester is for each student to develop a consistent, challenging and rewarding individual creative writing practice.",Writing WC
ENGL 294-01,10295,Crafts of Writing: Time is of the Essence,M,07:00 pm-10:00 pm,MAIN 111,Emma Torzs, Closed 1 / 16,"Every work of fiction contains multiple experiences of time. You can spend an hour reading a story in which three hundred years pass – or a year reading a book that takes place within a single hour. Fiction has the marvelous ability to propel a reader backwards and forwards and sideways in time, and in this class we’ll examine the tools that let us, as writers, enact that propulsion. We will look at fiction that adheres to linear time as well as fiction that meets time-challenges head on (such as time-travel narratives and stories with multiple timelines), and we’ll learn how to manage our readers’ time – how to get someone whipping through your pages, and how to get them to slow down and savor the moment. Required texts will likely include “This is How You Lose the Time War” by Amal El-Mohtar and Max Gladstone, “Cassandra at the Wedding” by Dorothy Baker, and stories by authors such as Mariana Enriquez, Charlie Jane Anders, and Lucia Berlin. This course will count as a creative writing elective. Prerequisite: ENGL 150.",
ENGL 294-03,10297,Literature of Delight, T R,09:40 am-11:10 am,MAIN 111,Sally Franson, Closed 2 / 20,"“Nothing in the world is permanent,” said playwright W. Somerset Maugham, “and we’re foolish when we ask anything to last, but surely we’re more foolish not to take delight while we have it.” The aim of this course, therefore, is to grab a semester’s worth of delight via an eclectic array of British and American novels, stories, plays, and essays that take delight as seriously as “high literature” takes suffering. We’ll begin with a few foundational texts before skipping off toward the hijinks of romantic comedy, screwball comedy, observational humor, cozy mysteries, satire, and farce, many of which were penned in decidedly non-delightful circumstances, and by occasionally non-delightful people. As our delight grows, we’ll ask a wide range of questions about genre, form, voice, reception, representation, the politics of taste, and the nature of protest art, paying particular attention to...well, to everything, since attention is delight’s skeleton key. “Look at a child!” cried Dostoyevsky in The Idiot. “Look at the grass, how it grows! Look at the eyes that gaze at you and love you!” Coursework will include reading responses, two short essays, a presentation and a final project. Creative writers (or those so inclined) will have the opportunity to write creatively for certain assignments. Non-majors are invited, so long as they’re easily delighted.",
ENGL 294-04,10298,Zadie Smith and Ali Smith,M W F,03:30 pm-04:30 pm,OLRI 100,Amy Elkins,4 / 20,"If you’ve read a novel, story, or essay by Zadie Smith or Ali Smith, chances are you’re already hooked! And if not, you’re definitely in for a treat. Zadie Smith was born in England to a Jamaican mother and British father and writes about technology, education and the Ivory Tower, and the complicated ways gender, sexuality, race, and socioeconomic class intertwine in our lives. Scottish writer Ali Smith was a Virginia Woolf scholar before she turned to creative writing. Her books explore queer identity, human rights and the refugee crisis, chronic illness, and the capacity for visual art to connect people across time and space. Both of these writers invite readers into the difficult spaces of life, challenging us to read with compassion while also thinking about how to make the world a better place—in their work, the personal is always political. As a class, we will read a selection of novels, short stories, and essays by The Smiths and discuss these texts through a series of creative and scholarly prompts.",
ENGL 294-05,10299,Beyond Marriage,M W F,01:10 pm-02:10 pm,MAIN 010,Melissa Merte,5 / 20,"Nineteenth-century novels are so often associated with the “marriage plot,” as narratives that trace a heroine’s development toward romance. This course will look at texts that purposely decenter the marriage plot and its traditional associations, questioning the emotional and physical cost in its aftermath and/or absence. We will consider fundamental questions such as, how does this decentering unsettle social norms and disrupt conventional pathways for narrative development? Possible course texts include Elizabeth Gaskell’s Ruth, Anne Brontë’s The Tenant of Wildfell Hall, George Gissing’s The Odd Women, sections from Emily Westmeath’s memoir, and selections of poetry from writers like Dante Gabriel Rossetti.",
ENGL 394-02,10301,The Body and The State,M W F,09:40 am-10:40 am,HUM 102,Aurora Masum-Javed,12 / 16,"How do we unravel the relationships between body, state, family, and time? How does the state live within us, within our homes? Is there such a thing as an embodied poetics or a liberatory one? In this course, we’ll read poetry collections that confront these impossible questions. We will analyze the work of writers such as Layli Long Soldier, Solmaz Sharif, and Claudia Rankine. We’ll mirror their innovations in form and come up with our own new possibilities. By the end of the semester, each student will have generated a small collection of poems. We will workshop these poems and learn from one another’s work. We will discover together what poetry can open, what impact it can have. Prerequisite: ENGL 150.",
ENGL 394-03,10302,Disability in the English Renaissance, T R,09:40 am-11:10 am,OLRI 170,Penelope Geng,3 / 16,"This course explores representations of disability and ability in late medieval and early modern England (c. 1500-1700). How was bodymind normativity, ability, and disability defined in the Renaissance? Why did writers turn to literature to explore illness and disability? And where might we discover evidence of disability gain or disability pride in the early modern archive? We’ll be reading a variety of genres: medical literature, herbals (self-help remedy books written for lay people), law books, joke books, ballads, poetry, and drama. We will also study recent scholarship in disability theory and early modern disability studies. No prior knowledge of the topic or of Renaissance literature is expected. Prerequisite: a 100-level or 200-level English course.",
ENGL 394-04,10303,Crafts of Writing: International Storytelling, T R,09:40 am-11:10 am,LIBR 250,Matt Burgess,3 / 16,"What makes a good story? Your answer to that question may depend on where you’re from, or when you were born, or the stories your grandmother heard when she was growing up. In this creative writing workshop course, we will explore narrative structures across a variety of time periods and cultures. Topics may include Aristotelian tragedy, Freytag’s Pyramid, Edgar Allen Poe’s single effect theory, the Hero’s Journey, Kishōtenketsu or the four-act structure of Chinese fairy tales, the nested narratives of The Arabian Nights, non-linear approaches in Latin American fiction, and the place-driven emphasis of stories from Central Africa. Throughout, our goal as a class will be to expand our understanding of how stories can be told. By the end of the semester, every student will have written multiple drafts of two original works of short fiction. Prerequisite: ENGL 150.","Writing WC
                    Internationalism"
ENGL 401-01,10304,Projects in Literary Research: Research-Creation as Social Justice,M W F,10:50 am-11:50 am,LIBR 250,Amy Elkins,5 / 12,"In How to Make Art at the End of the World: A Manifesto for Research-Creation, Natalie Loveless champions feminist methods of creativity and experimentation as a way of approaching research “that is committed, cathected, and sustaining.” Research-creation is ""[a]n approach to research that combines creative and academic research practices, and supports the development of knowledge and innovation through artistic expression, scholarly investigation, and experimentation. The creation process is situated within the research activity and produces critically informed work in a variety of media (art forms)."" [From the SSHRC website.] As a literary scholar, what does it mean to do interdisciplinary research? What is humane about the humanities? How might a research-creation framework help you become a better custodian of our planet? Or help solve social problems like bigotry, xenophobia, or racism? How does writing across media expand your sense of how academic writing communicates with an audience? Is your academic research intersectional, and why might that be important? Our capstone course will begin with an overview of research-creation as both a research method and as a model for social justice or activism. Students will develop their capstone research paper in consultation with their peers and the professor. The topic is up to you—but you should expect to produce a final project rooted in both creative praxis and traditional research, which will be presented in an academic paper that exists alongside an additional form of creative expression (artwork, photojournalism, podcast, web archive, artist’s book, comic, etc).",
ENGL 406-01,10305,Projects in Creative Writing, T R,03:00 pm-04:30 pm,MAIN 003,Matt Burgess,3 / 12,"Want to write something long and substantial, but don't exactly know what it's going to be about yet? No problem. You're right where you should be. This workshop seminar will provide advanced creative writers with the opportunity to embark on a semester-long project in the genre of their choice: a poetry chapbook, a novella, a collection of essays or short stories, a screenplay, or perhaps some combination of forms. The class will culminate in a presentation and a finished manuscript project.",
ENVI 130-01,10547,Science of Renewable Energy,M W F,01:10 pm-02:10 pm,OLRI 150,James Doyle,2 / 62,"This is a course on the current status of the most promising alternative and renewable energy options from a primarily scientific and technological perspective. Current methods of electricity generation and transportation energy sources will be briefly reviewed (fossil fuels, nuclear fission, and hydroelectric), including discussion of their limitations and environmental consequences. The focus of the course will be on understanding the scientific basis of alternative and renewable energy sources, and their promise and technological challenges for wide scale implementation. Biofuels, wind, photovoltaics, concentrated solar power, hydrogen, nuclear fusion, and geothermal will be considered in depth.",Quantitative Thinking Q2
ENVI 160-01,10372,Dynamic Earth/Global Change,M W F,10:50 am-11:50 am,OLRI 100,Anna Lindquist,2 / 48,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,Quantitative Thinking Q2
ENVI 160-02,10374,Dynamic Earth/Global Change,M W F,09:40 am-10:40 am,OLRI 175,Kelly MacGregor,0 / 18,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,"Writing WA
                    Quantitative Thinking Q2"
ENVI 160-L1,10376,Dynamic Earth/Global Chg Lab, T,08:00 am-11:10 am,OLRI 187,Jeffrey Thole,0 / 24,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,
ENVI 160-L2,10378,Dynamic Earth/Global Chg Lab, T,01:20 pm-04:30 pm,OLRI 187,Jeffrey Thole,2 / 24,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,
ENVI 160-L3,10380,Dynamic Earth/Global Chg Lab,   R,08:00 am-11:10 am,OLRI 187,Jeffrey Thole,0 / 18,This course provides an introduction to the materials and structure of the Earth and to the processes acting on and in the Earth to produce change. Emphasis is placed on the evolution of landforms and the formation of Earth resources. Discussions focus on the important role of geologic processes in the solution of environmental problems. Required for geology majors. Local field trips. Three hours lecture and two hours lab per week.,
ENVI 170-01,10149,Ecology and the Environment,M W F,09:40 am-10:40 am,OLRI 250,Jerald Dosch,1 / 48,"This course dives into a range of topics to study how species, populations, communities, ecosystems, and biomes function in our changing climate. We will emphasize biological nutrient and energy cycling, population dynamics, animal and plant species interactions, disturbances and response to disturbances, and ecology in urban and agricultural landscapes. We will examine Ecology under four conceptual 'lenses': Climate Change, Environmental Justice, Land Use, and Ecosystem Services. These lenses provide critical insight into how scientists, policy makers, land managers, and other stakeholders evaluate complex ecological and environmental systems. Labs will be field and data-based, and emphasize the development of hypotheses, novel data collection at Ordway Field Station, and statistical analysis. Three lecture hours and one three-hour laboratory each week.",Quantitative Thinking Q2
ENVI 170-L1,10151,Ecology/Environment Lab,   R,08:00 am-11:10 am,OLRI 284,Michael Anderson,0 / 24,"This course dives into a range of topics to study how species, populations, communities, ecosystems, and biomes function in our changing climate. We will emphasize biological nutrient and energy cycling, population dynamics, animal and plant species interactions, disturbances and response to disturbances, and ecology in urban and agricultural landscapes. We will examine Ecology under four conceptual 'lenses': Climate Change, Environmental Justice, Land Use, and Ecosystem Services. These lenses provide critical insight into how scientists, policy makers, land managers, and other stakeholders evaluate complex ecological and environmental systems. Labs will be field and data-based, and emphasize the development of hypotheses, novel data collection at Ordway Field Station, and statistical analysis. Three lecture hours and one three-hour laboratory each week.",
ENVI 170-L2,10153,Ecology/Environment Lab,   R,01:20 pm-04:30 pm,OLRI 284,Michael Anderson,3 / 24,"This course dives into a range of topics to study how species, populations, communities, ecosystems, and biomes function in our changing climate. We will emphasize biological nutrient and energy cycling, population dynamics, animal and plant species interactions, disturbances and response to disturbances, and ecology in urban and agricultural landscapes. We will examine Ecology under four conceptual 'lenses': Climate Change, Environmental Justice, Land Use, and Ecosystem Services. These lenses provide critical insight into how scientists, policy makers, land managers, and other stakeholders evaluate complex ecological and environmental systems. Labs will be field and data-based, and emphasize the development of hypotheses, novel data collection at Ordway Field Station, and statistical analysis. Three lecture hours and one three-hour laboratory each week.",
ENVI 194-01,10306,Intro to Sustainability, T R,09:40 am-11:10 am,OLRI 243,Chris Wells,0 / 17,"The term “sustainability” is everywhere, but its meanings can be slippery. On one hand, it is used to conjure green virtue, in the form of catchy advertising slogans, desirable consumer goods, and action items drawn from one of those lists: Ten Simple Things YOU Can Do to Save the Planet! On the other hand, sustainability is also a rich, interdisciplinary field of study and action. In this course, we will learn about sustainability as a sophisticated way to understand, analyze, and assess a complex world. We will look at problems that play out across scales from the local to the global, that are woven into the fabric of our everyday lives, and that have no obvious, straightforward solutions. We will also engage sustainability as a set of analytical tools designed to grapple with some of the thorniest and most important questions of our time: How can people work together to imagine and build just and equitable communities while nurturing healthier, more resilient ecosystems? And how can we understand and confront the complicated social, environmental, and economic problems of modern life in the context of a rapidly warming world?",Writing WA
ENVI 194-03,10895,Global Climate Politics, T R,09:40 am-11:10 am,OLRI 270,Sylvia Cifuentes,1 / 18,"This course examines climate governance and treaty negotiations, including the UNFCCC and its different financial and technical mechanisms on forests and adaptation. We will also examine the climate justice movement and the perspectives of Indigenous and other marginalized groups. The course will also investigate how ethnicity, power and development imaginaries shape climate knowledge and politics.  Since the semester coincides with COP26 in Scotland, we will engage with the climate summit as it unfolds.  This course will be offered by a new visiting faculty member in Environmental Studies. Sylvia Cifuentes is affiliated with the Environmental Justice/Climate Justice Hub of the Orfalea Center for Global and International Studies at UC Santa Barbara. She has collaborated with indigenous organizations including the Coordinator of Indigenous Organizations in the Amazon basin (COICA). She also completed her MSc in Environment and Development at the London School of Economics. She has worked in environmental and public health projects with the United Nations Development Program, the Peace Corps, Conservation International, among other organizations.",Internationalism
ENVI 215-01,10581,Environmental Politics/Policy, T R,09:40 am-11:10 am,CARN 305,Michael Zis,-2 / 25,"This course provides an introduction to the field of Environmental Politics and Policy. Using a comparative approach, the course engages the meaning and development of environmental governance. We will explore the tandem rise of the modern environmental movement and profound new environmental legislation in the U.S. and internationally. Topics investigated will include: deforestation, hazardous wastes, climate change, population growth, and loss of biodiversity.",
ENVI 234-01,10307,U.S. Environmental History,M W F,10:50 am-11:50 am,OLRI 243,Chris Wells,-1 / 20,"People have always had to contend with the natural world, but only recently have historians begun to explore the changing relationships between people and their environment over time. In this course, we will examine the variety of ways that people in North America have shaped the environment, as well as how they have used, labored in, abused, conserved, protected, rearranged, polluted, cleaned, and thought about it. In addition, we will explore how various characteristics of the natural world have affected the broad patterns of human society, sometimes harming or hindering life and other times enabling rapid development and expansion. By bringing nature into the study of human history and the human past into the study of nature, we will begin to see the connections and interdependencies between the two that are often overlooked.",Writing WP
ENVI 275-01,10274,"Outdoor Environmental Education in Theory, Policy and Practice",M W F,02:20 pm-03:20 pm,OLRI 243,"Dosch, Kurth-Schai",1 / 15,"This course provides an introduction to outdoor education as an opportunity to promote social justice and environmental sustainability in a globalized world.  Informed by relevant philosophical, psychological, cultural and political-economic frameworks, in addition to critical issues in public education policy and practice, we will explore interdisciplinary approaches to outdoor environmental education appropriate for students across the K-12 continuum.  We will utilize the Katharine Ordway Natural History Study Area (Ordway Field Station) as an outdoor classroom and will adapt curriculum from the Minnesota Department of Natural Resources (DNR) and other outdoor education organizations to assist elementary school teachers and students in fulfilling Minnesota K-12 Academic Standards. Early in the semester, all students will participate in a weekend retreat at the Ordway Field Station. Weekly lab sessions will include field days during which course members design and implement educational experiences for elementary school children at Ordway, small group work days for preparing field day lesson plans, trips to local outdoor environmental education sites within the Twin Cities, and other experiential learning opportunities.  Weekly seminar sessions incorporating readings, reflective writing, and individual and small group projects complement the experiential aspects of the course. As the semester progresses, each course member will develop a curricular unit aimed at teaching an important environmental issue to diverse adolescents attending urban public schools.  The curricular unit is a significant undertaking that provides students with the opportunity to synthesize all aspects of the course material in a creative, pragmatic and integrative manner.",
ENVI 275-L1,10276,"Outdoor Environmental Education in Theory, Policy and Practice",    F,01:10 pm-04:30 pm,OLRI 270,"Dosch, Kurth-Schai",2 / 15,"This course provides an introduction to outdoor education as an opportunity to promote social justice and environmental sustainability in a globalized world.  Informed by relevant philosophical, psychological, cultural and political-economic frameworks, in addition to critical issues in public education policy and practice, we will explore interdisciplinary approaches to outdoor environmental education appropriate for students across the K-12 continuum.  We will utilize the Katharine Ordway Natural History Study Area (Ordway Field Station) as an outdoor classroom and will adapt curriculum from the Minnesota Department of Natural Resources (DNR) and other outdoor education organizations to assist elementary school teachers and students in fulfilling Minnesota K-12 Academic Standards. Early in the semester, all students will participate in a weekend retreat at the Ordway Field Station. Weekly lab sessions will include field days during which course members design and implement educational experiences for elementary school children at Ordway, small group work days for preparing field day lesson plans, trips to local outdoor environmental education sites within the Twin Cities, and other experiential learning opportunities.  Weekly seminar sessions incorporating readings, reflective writing, and individual and small group projects complement the experiential aspects of the course. As the semester progresses, each course member will develop a curricular unit aimed at teaching an important environmental issue to diverse adolescents attending urban public schools.  The curricular unit is a significant undertaking that provides students with the opportunity to synthesize all aspects of the course material in a creative, pragmatic and integrative manner.",
ENVI 280-01,10309,Environmental Classics,M,07:00 pm-10:00 pm,OLRI 243,Chris Wells,-4 / 18,"What is the history and evolution of environmental thinking and writing?  How have writers shaped the ways we understand our relationship with the natural world?  This course explores these questions, drawing in roughly equal measure on 'classic' texts from the humanities, social sciences, and natural sciences.  The ideas introduced by these classic texts are still present, implicitly and explicitly, in much of today's environmental discourse. This course will use a selection of books and papers that have had a major impact on academic and wider public thinking - primarily but not exclusively in the USA.  Through engaged discussion, we will trace the impact of each text, beginning with the context in which it was written and ending with its influence on our contemporary understandings of the environment.  In addition, we will seek to understand the characteristics of 'classic' texts that hold attention, encourage new ways of thinking, and facilitate social change. Prerequisite(s): Permission of the instructor or two of the following: ENVI 133, ENVI 240, ENVI 215, ENVI 234,  ENVI 170.",Writing WA
